"","iyear","rname","mnshn"
"421",2011,"South America",0.039544152666464
"422",2012,"Africa",0.0570750486904011
"423",2012,"Asia",0.0532574190600562
"424",2012,"Europe",0.0273683053798613
"425",2012,"High Seas",0.0873786180160036
"426",2012,"North America",0.0496159342618215
"427",2012,"Oceania",0.0565159980869497
"428",2012,"South America",0.0393146486651556
"429",2013,"Africa",0.0578044523171648
"430",2013,"Asia",0.0532240083948838
"431",2013,"Europe",0.0265831552331148
"432",2013,"High Seas",0.0637776404782883
"433",2013,"North America",0.0486511512444423
"434",2013,"Oceania",0.0535720106812153
"435",2013,"South America",0.0377607798418933
"436",2014,"Africa",0.0560148546863321
"437",2014,"Asia",0.0531894500094127
"438",2014,"Europe",0.0266729114637578
"439",2014,"High Seas",0.0904767639988303
"440",2014,"North America",0.0477545501162447
"441",2014,"Oceania",0.0554537879750448
"442",2014,"South America",0.0410863698631233
"443",2015,"Africa",0.0560723546802203
"444",2015,"Asia",0.0525652557255347
"445",2015,"Europe",0.0241493821360173
"446",2015,"High Seas",0.0403248714010758
"447",2015,"North America",0.0495702567087811
"448",2015,"Oceania",0.0516133305482927
"449",2015,"South America",0.040830301780188
